n,abr_type,height_before,height_after,insert_time,search_time,delete_time
10,lista,5,4,2.7375008357921615e-06,,
110,lista,11,9,1.6875001165317371e-06,1.2571427283719891e-06,1.8761902105151898e-06
210,lista,12,11,1.965060213676104e-06,1.272500230697915e-06,1.807692639816266e-06
310,lista,12,11,1.7354976954301457e-06,1.244068143778812e-06,1.6754109042192825e-06
410,lista,16,11,1.930031554568732e-06,1.399999888093731e-06,1.8417718083468042e-06
510,lista,12,9,1.7356232215079263e-06,1.2412369635301768e-06,1.5656252495925098e-06
610,lista,11,9,1.6935117869852507e-06,1.1736847227439284e-06,1.4807019237706667e-06
710,lista,13,6,1.7789665891400563e-06,1.2588239127687892e-06,1.3834535120818898e-06
810,lista,13,7,1.780251019158427e-06,1.2463571801349916e-06,1.438461603121376e-06
910,lista,14,5,1.8317781187832876e-06,1.2994283211550542e-06,1.3034475797348409e-06
1010,lista,12,6,1.7666231697872087e-06,1.2187819944477173e-06,1.278919611453406e-06
1110,lista,11,6,1.7098207612282146e-06,1.198139114760209e-06,1.1850473205515436e-06
1210,lista,17,5,2.0365856888122295e-06,1.5418101046916803e-06,1.3326179304124203e-06
1310,lista,12,4,1.7817915858623872e-06,1.2923376384936987e-06,1.130739925882203e-06
1410,lista,12,3,1.8686027455814656e-06,1.170518028872659e-06,1.0540648443980248e-06
1510,lista,13,2,1.7641068364287035e-06,1.2345892721659516e-06,1.0850175708947696e-06
1610,lista,12,0,1.7156655492537728e-06,1.2640263743102305e-06,1.0095236431215964e-06
1710,lista,11,1,1.8701549884008741e-06,1.1844934801323505e-06,1.0298740934381414e-06
1810,lista,14,3,1.8205541586869943e-06,1.2529938806595648e-06,9.648970624975927e-07
1910,lista,13,2,1.8094315098491387e-06,1.2849460065525065e-06,1.0019556606869998e-06
2010,lista,15,0,1.8299810962290918e-06,1.3355089730872497e-06,1.002538244258896e-06
2110,lista,14,2,1.8499688850945854e-06,1.3017813075551852e-06,1.0597856338298192e-06
2210,lista,16,0,1.912002071638286e-06,1.4007144186290956e-06,9.105670429074888e-07
2310,lista,13,0,1.8012012519866562e-06,1.2564337452343806e-06,9.455174828569094e-07
2410,lista,17,2,1.7817322151940757e-06,1.3632263289764523e-06,9.180046049797192e-07
2510,lista,12,0,1.8643867348300968e-06,1.218201680131371e-06,8.851850267361712e-07
2610,lista,16,0,1.93361025456017e-06,1.4380307694623772e-06,8.230140625239329e-07
2710,lista,13,0,1.8772342177029079e-06,1.2800378378342569e-06,8.673159439858549e-07
2810,lista,12,1,1.7805305236729412e-06,1.2359776324936193e-06,8.002055331813229e-07
2910,lista,13,0,1.7786959791049848e-06,1.2026642286673611e-06,9.189709931929443e-07
3010,lista,13,0,1.8293185192825538e-06,1.2763793196866352e-06,7.419726531525407e-07
3110,lista,13,0,1.917016001920585e-06,1.3565936619620565e-06,7.237325083373708e-07
3210,lista,15,0,1.6726130491107967e-06,1.1892574099973904e-06,7.242475064004965e-07
3310,lista,12,0,1.7609954987946295e-06,1.2616458983791078e-06,6.421686261873618e-07
3410,lista,17,0,2.0674437055140172e-06,1.4751153889038763e-06,8.165931501178549e-07
