level_0,n,abr_type,height_before,height_after,insert_time,search_time,delete_time
0,10,lista,5.45,4.83,1.7731398048843924e-06,,
1,110,lista,13.35,12.16,1.9504228323629653e-06,1.4329215240697337e-06,2.199957738758669e-06
2,210,lista,15.23,13.96,2.041310137388115e-06,1.580641435897158e-06,2.224752282295592e-06
3,310,lista,16.43,15.26,2.127744390358261e-06,1.6086210226446662e-06,2.2957656836160816e-06
4,410,lista,17.11,15.79,2.1164461056864893e-06,1.6544014984966458e-06,2.323573122550779e-06
5,510,lista,17.39,15.91,2.212281361585712e-06,1.6918353952463473e-06,2.3381797136219677e-06
6,610,lista,18.22,16.48,2.227700577343337e-06,1.7354263540032999e-06,2.3230055464615754e-06
7,710,lista,18.47,16.74,2.247069132612589e-06,1.7548205093577362e-06,2.32846457471449e-06
8,810,lista,18.48,16.52,2.2698211667933503e-06,1.7895876742952653e-06,2.3186014325800514e-06
9,910,lista,18.67,16.68,2.302412576166574e-06,1.780886857537004e-06,2.3172929744691016e-06
10,1010,lista,18.57,16.47,2.2734598551469154e-06,1.803521439253755e-06,2.3628227368995324e-06
11,1110,lista,18.71,16.58,2.2832431605408723e-06,1.7803821496935653e-06,2.295520169545026e-06
12,1210,lista,18.72,16.34,2.29016119955828e-06,1.7817987458859692e-06,2.2733079644162053e-06
13,1310,lista,18.98,16.3,2.340931595018305e-06,1.8144610632096363e-06,2.3057030308040265e-06
14,1410,lista,19.44,16.47,2.3289224965401353e-06,1.8050677007632942e-06,2.280614287902325e-06
15,1510,lista,18.99,16.18,2.29696863652903e-06,1.795811903220827e-06,2.266651304190326e-06
16,1610,lista,19.02,15.81,2.3205182598577538e-06,1.7909308200829858e-06,2.2270712853146843e-06
17,1710,lista,19.04,15.67,2.2991949547483363e-06,1.7999032708666495e-06,2.2266947606055335e-06
18,1810,lista,19.26,15.78,2.3086968052079184e-06,1.7914767664766222e-06,2.19647611883807e-06
19,1910,lista,19.28,15.9,2.317228831765951e-06,1.7970113402890605e-06,2.1898949161162224e-06
20,2010,lista,19.44,15.44,2.3147952566274405e-06,1.7959249597056518e-06,2.172137333007207e-06
21,2110,lista,19.34,15.39,2.3334969583803982e-06,1.8354692379600904e-06,2.174369387244317e-06
22,2210,lista,19.38,15.14,2.314392744956918e-06,1.8237355915434668e-06,2.1750413977082623e-06
23,2310,lista,19.37,15.18,2.3281853106660846e-06,1.8255059352559365e-06,2.1596315411311165e-06
24,2410,lista,19.29,15.0,2.3283818201605383e-06,1.82539358463518e-06,2.149427942739433e-06
25,2510,lista,19.32,14.87,2.322416602959706e-06,1.808124229014074e-06,2.125378638313329e-06
26,2610,lista,19.32,14.73,2.3321296730529947e-06,1.820100157188901e-06,2.1129653645991336e-06
27,2710,lista,19.34,14.7,2.3087840242599945e-06,1.8077216196596322e-06,2.1159607956833908e-06
28,2810,lista,19.21,14.04,2.3109711111656342e-06,1.7987021783314333e-06,2.0792116550313063e-06
29,2910,lista,19.37,14.13,2.326545774606951e-06,1.831302769488561e-06,2.0722652287047514e-06
30,3010,lista,19.33,13.84,2.316969270730675e-06,1.8044709532050741e-06,2.061194673411857e-06
31,3110,lista,19.34,13.77,2.3232451405416842e-06,1.8189461685260331e-06,2.0769001785619267e-06
32,3210,lista,19.37,13.66,2.3325201289512085e-06,1.8079553067210533e-06,2.049093318388969e-06
33,3310,lista,19.46,13.55,2.3448695290764414e-06,1.8519934891427606e-06,2.0397453820390853e-06
34,3410,lista,19.3,13.46,2.356070352413053e-06,1.8311501622956378e-06,2.0445945008784187e-06
35,3510,lista,19.04,13.06,2.3183924341674936e-06,1.7898289939342238e-06,1.9831431395006583e-06
36,3610,lista,19.58,13.08,2.363124542784005e-06,1.8370896387754924e-06,2.0122708690934733e-06
37,3710,lista,19.36,13.0,2.3588758150042348e-06,1.8375414028889245e-06,1.9952897230614203e-06
38,3810,lista,19.08,12.47,2.32594784791632e-06,1.8012592315402025e-06,1.966389743527949e-06
39,3910,lista,19.2,12.62,2.3232169570102746e-06,1.835616696082714e-06,1.969055765706905e-06
40,4010,lista,19.13,12.39,2.320334350251152e-06,1.8279719935493132e-06,1.957600567850219e-06
41,4110,lista,19.23,12.37,2.3073344267957e-06,1.7991899187256175e-06,1.9327543272055884e-06
42,4210,lista,19.22,12.06,2.3327832704002087e-06,1.8325476020488343e-06,1.9432562674196294e-06
43,4310,lista,19.45,11.87,2.3595323549488517e-06,1.844335551801938e-06,1.9335117749757145e-06
44,4410,lista,19.33,12.01,2.3657825920254354e-06,1.8338001571929062e-06,1.9121234367875037e-06
45,4510,lista,19.22,11.69,2.3610417795542623e-06,1.8184597844160624e-06,1.909755997291236e-06
46,4610,lista,19.05,11.46,2.364092545480962e-06,1.818280054872936e-06,1.8814940902338119e-06
47,4710,lista,19.33,11.41,2.355965186093021e-06,1.810071631519664e-06,1.8814971822914516e-06
48,4810,lista,19.14,11.05,2.352110370826553e-06,1.8201355273000156e-06,1.8636229074204456e-06
49,4910,lista,19.53,11.01,2.355240655304869e-06,1.8346249385824252e-06,1.888759892152235e-06
50,5010,lista,19.21,10.7,2.3438929989323947e-06,1.8375782008276796e-06,1.865922102026518e-06
51,5110,lista,19.63,10.98,2.3293538548379686e-06,1.8251737601005682e-06,1.832147377674544e-06
52,5210,lista,19.2,10.56,2.3249724368273527e-06,1.8109326739673988e-06,1.8211647344216223e-06
53,5310,lista,19.79,10.54,2.363007006913419e-06,1.8171965356505793e-06,1.8218841469780846e-06
54,5410,lista,19.46,10.23,2.3656240560913003e-06,1.8255343421911656e-06,1.8096490875657152e-06
55,5510,lista,19.22,9.94,2.3674742270227005e-06,1.8222057649800434e-06,1.7936183941822149e-06
56,5610,lista,19.27,9.73,2.3476306024185508e-06,1.8118462591207286e-06,1.776463548188934e-06
57,5710,lista,19.39,9.68,2.33587443512001e-06,1.8094369139618482e-06,1.7673277149456735e-06
58,5810,lista,19.32,9.67,2.3183942745989487e-06,1.8068819665538994e-06,1.7562766812996744e-06
59,5910,lista,19.22,9.59,2.3156344309493982e-06,1.8051236719692523e-06,1.7528322299071897e-06
60,6010,lista,19.34,9.16,2.3422756405486564e-06,1.8180399781615639e-06,1.7355456506635012e-06
61,6110,lista,19.58,9.33,2.359819929464691e-06,1.8090740850210666e-06,1.741239435027958e-06
62,6210,lista,19.32,8.76,2.3677891861436644e-06,1.8108605666553784e-06,1.7441458882382028e-06
63,6310,lista,19.1,8.81,2.362605098704041e-06,1.8225995974086619e-06,1.7157347216330068e-06
64,6410,lista,19.41,8.71,2.371593834160343e-06,1.8281631892587083e-06,1.7135815121597257e-06
65,6510,lista,19.32,8.65,2.34880088642846e-06,1.8139386859414917e-06,1.7016193726293517e-06
66,6610,lista,19.4,8.53,2.331861053425615e-06,1.8119920061538692e-06,1.701473680469837e-06
67,6710,lista,19.38,8.27,2.3210817651052133e-06,1.7985663080493132e-06,1.6816208845933373e-06
68,6810,lista,19.51,8.17,2.355990495691548e-06,1.8309925764149154e-06,1.6793054894558167e-06
69,6910,lista,19.34,8.05,2.37206995987477e-06,1.8200784456105687e-06,1.6748402695996374e-06
70,7010,lista,19.33,7.58,2.3460033351976212e-06,1.8015115184870915e-06,1.6353575194189035e-06
71,7110,lista,19.61,7.44,2.3682997774216566e-06,1.8140712857861436e-06,1.6440546505119155e-06
72,7210,lista,19.44,7.84,2.379617567388744e-06,1.8477503089448511e-06,1.6695611522309355e-06
73,7310,lista,19.41,7.16,2.348128555615513e-06,1.8200858218184382e-06,1.6345099763281776e-06
74,7410,lista,19.75,7.21,2.3733395018231634e-06,1.8209018295666546e-06,1.6079021824949395e-06
75,7510,lista,19.6,7.22,2.383907275731722e-06,1.8253412070082406e-06,1.6377955074318019e-06
76,7610,lista,19.1,7.22,2.373744784256549e-06,1.821621719000546e-06,1.6071610769741217e-06
77,7710,lista,19.27,6.91,2.36377188620153e-06,1.8168462106903003e-06,1.5936244884092221e-06
78,7810,lista,19.45,6.73,2.364761479447983e-06,1.8477885795494217e-06,1.5980571830404126e-06
79,7910,lista,19.39,6.75,2.3415121168536824e-06,1.8177927232719342e-06,1.5815755727551694e-06
80,8010,lista,19.51,6.63,2.3736844489613614e-06,1.8378507912193757e-06,1.5895624683574513e-06
81,8110,lista,19.35,6.26,2.3839563597983164e-06,1.8282481221057362e-06,1.560332570097334e-06
82,8210,lista,19.42,6.24,2.388464605325971e-06,1.8500187031391172e-06,1.567104462785357e-06
83,8310,lista,18.93,5.81,2.343591228139235e-06,1.7991351921996546e-06,1.5280816936891939e-06
84,8410,lista,19.69,5.76,2.3620503629174806e-06,1.8257948054562724e-06,1.5308805762487067e-06
85,8510,lista,19.23,5.85,2.3297252601459337e-06,1.80233163787138e-06,1.5187574287515074e-06
86,8610,lista,19.47,5.57,2.3525777371634407e-06,1.819717511907529e-06,1.5309981911071648e-06
87,8710,lista,18.92,5.29,2.3641915623525396e-06,1.8090372491083727e-06,1.499468712999517e-06
88,8810,lista,19.5,5.31,2.358144923314007e-06,1.8126882311170917e-06,1.4978810022564515e-06
89,8910,lista,19.13,5.33,2.3543927736790487e-06,1.8017451482359916e-06,1.4871816727559444e-06
90,9010,lista,19.23,5.36,2.343958944619997e-06,1.8119353803165726e-06,1.4882448925240817e-06
91,9110,lista,19.64,5.07,2.366740484268676e-06,1.843089326903293e-06,1.4900014406272652e-06
92,9210,lista,19.25,5.06,2.3925450601697093e-06,1.8348369422811336e-06,1.4897570734637088e-06
93,9310,lista,19.29,4.81,2.3915605082181224e-06,1.8274461771557054e-06,1.4673013926094638e-06
94,9410,lista,19.37,4.6,2.3608121415465834e-06,1.8112376332392825e-06,1.4491392591631428e-06
95,9510,lista,19.55,4.65,2.3560120864292386e-06,1.820822626956091e-06,1.4499489040676212e-06
96,9610,lista,19.2,4.43,2.3417907896955908e-06,1.7987506118153325e-06,1.4352195103087368e-06
97,9710,lista,19.46,4.28,2.390666616883597e-06,1.8372594488072824e-06,1.4292645764423675e-06
