n,abr_type,height_before,height_after,insert_time,search_time,delete_time
7110,lista,23,8,2.3903132628322868e-06,1.8355567435416042e-06,1.613587195185595e-06
7210,lista,18,9,2.2478838086206056e-06,1.660333575742985e-06,1.5880535153812158e-06
7310,lista,17,6,2.1246318656210757e-06,1.649364643999228e-06,1.507767712102008e-06
7410,lista,18,7,2.2800209608509403e-06,1.7852685260140695e-06,1.6528787740884188e-06
7510,lista,19,6,2.402482335105722e-06,1.7639227605594732e-06,1.563462831083769e-06
7610,lista,19,7,2.298449577426194e-06,1.7730233261819644e-06,1.5899247137671355e-06
7710,lista,20,8,2.42484288093172e-06,1.9478057476564247e-06,1.7552946464953838e-06
7810,lista,19,7,2.524661989367372e-06,1.919197493285738e-06,1.655548539220588e-06
7910,lista,18,7,2.47867478504101e-06,1.909968135625529e-06,1.6357098829539754e-06
8010,lista,17,6,2.459873006926731e-06,1.916785441802573e-06,1.6262997943399451e-06
8110,lista,21,6,2.5334429620307693e-06,1.9013060495606045e-06,1.6344127537209599e-06
8210,lista,18,4,2.2364428884405736e-06,1.8590936599262313e-06,1.493410019413166e-06
8310,lista,18,6,2.3640104463491683e-06,1.7914529689400024e-06,1.471605451699053e-06
8410,lista,19,6,2.2893368655000777e-06,1.8840023214780401e-06,1.3730769279181213e-06
8510,lista,24,7,2.3498547096520384e-06,1.8304265263841514e-06,1.5516928917961477e-06
8610,lista,23,5,2.2831521471062202e-06,1.7273980264029325e-06,1.5010956058514487e-06
8710,lista,21,9,2.4057835657552488e-06,2.013534543062637e-06,1.6126448155938282e-06
8810,lista,18,6,2.3704512751567917e-06,1.7994203759978215e-06,1.4726156148827385e-06
8910,lista,20,7,2.3676596000896116e-06,1.7819941648152098e-06,1.4455119455077816e-06
9010,lista,19,6,2.3588192861816687e-06,1.8416905492041015e-06,1.58183332739487e-06
9110,lista,21,8,2.4394091274574677e-06,1.9774615907602704e-06,1.6915147007280718e-06
9210,lista,18,5,2.293608224861841e-06,1.704947577019106e-06,1.43180367001567e-06
9310,lista,25,5,2.688094222861414e-06,2.096510375342093e-06,1.569977647315162e-06
9410,lista,22,5,2.5550437435985707e-06,2.05290667557468e-06,1.4068989567802627e-06
9510,lista,22,6,2.2801993945154394e-06,1.732713846194318e-06,1.434018289425555e-06
9610,lista,18,2,2.2460109275205256e-06,1.7506629195042835e-06,1.3421583647286675e-06
9710,lista,19,3,2.170863921446271e-06,1.6525211948715542e-06,1.3243118285002203e-06
9810,lista,25,6,2.6858374241201215e-06,2.1816431162723894e-06,1.6492114664441255e-06
9910,lista,19,3,2.2928422668779794e-06,1.7665245675487812e-06,1.3520104574117392e-06
10,flag,7,6,1.4125016605248675e-06,,
110,flag,15,12,1.8011622921412074e-06,1.304761445637615e-06,2.1238097577311453e-06
210,flag,14,14,1.8731717740060624e-06,1.4333349192897097e-06,2.3763143537124914e-06
310,flag,21,21,2.3222220592093442e-06,1.993442295867278e-06,2.9704927134739813e-06
410,flag,18,16,2.053458922331766e-06,1.6556962841202187e-06,2.784415430921529e-06
510,flag,19,16,2.1600509349744927e-06,1.6350003716070204e-06,3.0529987998306753e-06
610,flag,18,16,2.140717267526416e-06,1.5871788864620985e-06,2.89823013600951e-06
710,flag,21,18,2.307156122229788e-06,1.7828569980338216e-06,3.3705881137661086e-06
810,flag,22,21,2.5159419949530908e-06,1.896815456058474e-06,3.3154837682002016e-06
910,flag,20,19,2.355384640395641e-06,1.8348314523372506e-06,3.2005647603832815e-06
1010,flag,25,25,2.573536644967003e-06,2.175879292658076e-06,3.7512815861891097e-06
1110,flag,21,20,2.5042479965530004e-06,1.9203614690067137e-06,3.4392692151874917e-06
1210,flag,21,20,2.430752342221357e-06,1.7653848741076185e-06,3.3337551779172656e-06
1310,flag,21,19,2.4087595930744665e-06,1.885658664747986e-06,3.63914724692067e-06
1410,flag,23,20,2.4997202540858052e-06,1.8866664268662808e-06,3.6508971003241385e-06
1510,flag,20,19,2.5598006608216803e-06,1.8672356576700106e-06,3.5449663831871126e-06
1610,flag,23,20,2.6372564928054473e-06,1.9606453039863657e-06,3.60000013303724e-06
1710,flag,22,19,2.487778604935445e-06,1.830267181028598e-06,3.478806135731179e-06
1810,flag,24,23,2.666319728127241e-06,1.997450299339406e-06,3.773537355807187e-06
1910,flag,25,24,2.713942625920218e-06,1.98079994879663e-06,3.8843504131576464e-06
2010,flag,22,20,2.5926334010874256e-06,1.854545501768683e-06,3.6323233301788943e-06
2110,flag,28,26,2.8325924592345583e-06,2.155121679917523e-06,4.164028413899743e-06
2210,flag,23,22,2.662573816733591e-06,1.946744457601981e-06,3.954357970367109e-06
2310,flag,25,21,2.6786680707527204e-06,1.9800902989048223e-06,3.906813223723445e-06
2410,flag,26,23,2.9875069897572445e-06,2.2942913808401113e-06,4.223689917217261e-06
2510,flag,24,24,2.5995932742446943e-06,1.7745866094357988e-06,4.0854546982287005e-06
2610,flag,25,21,2.71299694941798e-06,1.9289368287363186e-06,3.924225047528527e-06
2710,flag,24,22,2.616889714642147e-06,1.8461247642448838e-06,4.7080676262677555e-06
2810,flag,24,23,2.783565895595428e-06,2.1125677357723728e-06,4.119891425970248e-06
2910,flag,27,23,2.875323953960645e-06,2.104929618826005e-06,4.086013985317448e-06
3010,flag,26,23,2.7739389396133456e-06,1.977310866164435e-06,4.042449535023821e-06
3110,flag,23,22,2.7428211323783195e-06,1.877903372177013e-06,3.86165057419736e-06
3210,flag,28,27,2.7975863215628915e-06,2.03145170798375e-06,4.034384982094862e-06
3310,flag,25,23,2.822165567703361e-06,2.013755813089863e-06,4.020061014477718e-06
3410,flag,24,21,2.769626103980957e-06,1.83278442312361e-06,3.910814799989263e-06
3510,flag,24,21,2.944954305599982e-06,1.977921956928358e-06,3.8969740040079615e-06
3610,flag,25,20,2.5953008224189694e-06,1.7875713196450047e-06,3.8136875944006564e-06
3710,flag,24,23,2.796850010463191e-06,1.8435545173110984e-06,3.887179648401857e-06
3810,flag,26,24,2.7892640800873078e-06,1.909426455462321e-06,3.996706006794491e-06
3910,flag,25,23,2.727805977240883e-06,1.8715034421606392e-06,3.814785841679691e-06
4010,flag,27,25,2.7653407283843335e-06,1.9075850508435994e-06,4.014464932839451e-06
4110,flag,27,22,3.1185664851447837e-06,1.892901426134805e-06,4.091336432064072e-06
4210,flag,26,24,3.00206677712538e-06,1.9717577731970583e-06,4.238396973942928e-06
4310,flag,29,24,3.224803634520669e-06,2.105119572314877e-06,4.127697987181561e-06
4410,flag,25,23,2.8560570692613106e-06,1.935472204148891e-06,4.029689387898459e-06
4510,flag,27,24,2.760625258929427e-06,1.8734669072995816e-06,3.992368409140443e-06
4610,flag,26,25,3.1212306417655945e-06,2.196699315431037e-06,4.298453127903586e-06
4710,flag,26,24,2.9864686029172748e-06,1.8930031072881687e-06,3.938099867371065e-06
4810,flag,27,23,2.7879184538707485e-06,1.9015941467516196e-06,3.962083337682998e-06
4910,flag,27,26,2.827524451551093e-06,1.8170145962441764e-06,3.916874095772472e-06
5010,flag,24,24,2.9067760766112964e-06,1.980485322793872e-06,4.045593153271095e-06
5110,flag,28,26,2.8184388608904497e-06,1.9501007689768357e-06,3.994373268050649e-06
5210,flag,24,22,2.8760414834276376e-06,1.834863283534105e-06,3.897874607088198e-06
5310,flag,27,25,2.8618398193383583e-06,1.8358362471010224e-06,4.009497093796511e-06
5410,flag,29,27,2.952849742918294e-06,1.9001892419591857e-06,4.011940467562318e-06
5510,flag,29,25,2.9198959139078653e-06,1.948753332922154e-06,4.0556985154313115e-06
5610,flag,23,21,2.8004102734817028e-06,1.847985328891731e-06,3.746474084590021e-06
5710,flag,27,25,3.0948592851938035e-06,2.052528855883365e-06,4.155903571278643e-06
5810,flag,27,25,2.941869698469932e-06,1.8275400025831493e-06,3.876775021784784e-06
5910,flag,28,27,2.881126616048147e-06,1.9234770837600434e-06,4.106802846757271e-06
6010,flag,30,26,3.407423624086039e-06,2.1702219165326015e-06,4.324664593433599e-06
6110,flag,32,27,2.9606087255971653e-06,1.925406576205169e-06,4.264433678344348e-06
6210,flag,27,24,3.064687668664217e-06,2.0508154902719628e-06,4.168719281989176e-06
6310,flag,24,22,2.8384455079240103e-06,1.8636962009298772e-06,4.070015917356213e-06
6410,flag,28,24,2.922840788093338e-06,1.8421220981205504e-06,3.8799528167827364e-06
6510,flag,27,23,3.0140929839341153e-06,1.9319622649013983e-06,4.021853431483954e-06
6610,flag,29,24,3.0622315646879087e-06,1.8718027210549003e-06,4.474139393716281e-06
6710,flag,27,24,3.2776769483109604e-06,1.927782364601226e-06,4.43272856651937e-06
6810,flag,29,26,3.6372800104791835e-06,2.1126244845817916e-06,4.80280884537097e-06
6910,flag,24,23,3.896029728701501e-06,2.1451155986361857e-06,5.872312136215949e-06
7010,flag,29,24,4.4026707211403764e-06,2.1172614619936263e-06,5.177085062382882e-06
7110,flag,31,30,3.7736588677152727e-06,2.4670027954616617e-06,5.349786843825396e-06
7210,flag,26,23,3.5735724356367892e-06,2.1349502917207756e-06,5.0442739233424026e-06
7310,flag,26,24,3.643921136121158e-06,2.2924353154872677e-06,4.806505374378399e-06
7410,flag,25,23,3.977937437637739e-06,2.291365173560357e-06,5.570926374180886e-06
7510,flag,29,26,4.120651877959212e-06,2.3132341699756476e-06,5.432307707725162e-06
7610,flag,30,24,5.435339846068875e-06,2.50145800753001e-06,5.300395287421798e-06
7710,flag,28,27,4.11983449122013e-06,2.8082376994019037e-06,5.6869704075345725e-06
7810,flag,28,25,4.1877108331971736e-06,2.5840238177411645e-06,5.906949715645075e-06
7910,flag,27,24,5.095359987344569e-06,2.689046549179337e-06,5.878263355055128e-06
8010,flag,27,24,4.817642385251903e-06,2.9636650170821437e-06,6.7073838855836474e-06
8110,flag,30,25,5.170789871038942e-06,2.8529632250833577e-06,6.000000158825693e-06
8210,flag,26,25,4.915647867380462e-06,2.670535910250952e-06,5.92380090027264e-06
8310,flag,27,26,4.321511958236528e-06,2.1682700738378878e-06,4.695036350797352e-06
8410,flag,29,25,3.854022439819393e-06,3.0181431744159517e-06,6.168007220425011e-06
8510,flag,32,30,4.5798777761162526e-06,3.88867811578098e-06,6.029899246908521e-06
8610,flag,31,30,5.438647525180151e-06,2.925161512235704e-06,5.802651880990602e-06
8710,flag,32,28,4.1876263890005364e-06,2.4881376563803396e-06,4.826724762097001e-06
8810,flag,29,27,3.961869870942061e-06,2.3798969348776286e-06,4.863441503727603e-06
8910,flag,27,26,3.4785816609674654e-06,2.2006860817449775e-06,4.969638981948382e-06
9010,flag,28,24,4.127477879093808e-06,2.623050214432782e-06,5.535042768097523e-06
9110,flag,30,27,4.41766258082539e-06,2.5677150933088706e-06,5.62751811470818e-06
9210,flag,28,25,3.891249393009364e-06,2.2258691786870656e-06,4.540087670742698e-06
9310,flag,34,32,4.003592925858709e-06,3.3404382921704283e-06,6.098918785101961e-06
9410,flag,30,27,4.682454696411927e-06,3.3238846396341294e-06,5.5412177626467065e-06
9510,flag,31,29,4.150639233703104e-06,2.4988889183279955e-06,4.6541124477214484e-06
9610,flag,27,24,3.678680558058941e-06,2.294949818526804e-06,6.045778098368282e-06
9710,flag,27,24,4.09078104047704e-06,2.2104329702963717e-06,4.804766992676444e-06
9810,flag,35,33,4.437711759562179e-06,2.8693632548747855e-06,5.623489626790009e-06
9910,flag,29,25,3.957516206016679e-06,2.471602355773725e-06,5.031398345964525e-06
10,abr,7,6,1.8374976207269356e-06,,
110,abr,15,14,1.8185190712734136e-06,2.4047621991485357e-06,3.4619040975701952e-06
210,abr,15,13,2.4896967013112523e-06,2.7666667139985493e-06,3.6897440739453605e-06
310,abr,21,20,2.1562768444741443e-06,2.5362063877702015e-06,4.261664920098459e-06
410,abr,17,16,2.1760124837213727e-06,2.410126882428421e-06,4.123077348758204e-06
510,abr,20,18,2.0400502626895347e-06,2.505102554782845e-06,4.2140002187807115e-06
610,abr,19,16,1.99773772256196e-06,2.2450007236329838e-06,3.903418924643571e-06
710,abr,20,18,1.981239137445799e-06,2.1748148827572114e-06,3.7410065762886256e-06
810,abr,24,22,2.0923318504610904e-06,2.5238711274259035e-06,4.194937152729098e-06
910,abr,21,19,2.0409287940251203e-06,2.670238592102015e-06,4.490608322428982e-06
1010,abr,26,22,2.3093318768094608e-06,2.9187824554637377e-06,4.739196088876407e-06
1110,abr,23,20,2.1850479312483934e-06,2.517619439112466e-06,4.461926604095641e-06
1210,abr,23,21,2.0056743971500903e-06,2.350632819928669e-06,4.021940361865588e-06
1310,abr,22,19,2.0157199333616465e-06,2.275590863221831e-06,3.853696908037167e-06
1410,abr,23,20,2.1404829826700873e-06,2.4312266151223427e-06,4.5108300526979435e-06
1510,abr,23,20,2.072591759364778e-06,2.312329031641863e-06,4.615050413097601e-06
1610,abr,24,21,2.122512637891981e-06,2.459433881943729e-06,4.742357021221405e-06
1710,abr,23,19,1.9990812211046437e-06,2.210385617606607e-06,4.452239042634506e-06
1810,abr,27,21,2.1701992048410326e-06,2.4262570445009573e-06,4.412394720392013e-06
1910,abr,28,25,2.202635133053755e-06,2.594474445734369e-06,4.821750438841311e-06
2010,abr,24,21,2.2453185292299937e-06,2.3103359492871073e-06,4.296437752760151e-06
2110,abr,29,25,2.212151870296537e-06,2.4722357473910514e-06,4.778520587825067e-06
2210,abr,26,24,2.1381862023967564e-06,2.395194531333136e-06,4.699544404083884e-06
2310,abr,28,25,2.130213635650817e-06,2.313004706144717e-06,4.382751039208999e-06
2410,abr,29,27,2.3323023072863023e-06,2.52875525908057e-06,4.8697033504387205e-06
2510,abr,27,21,1.9967978654595538e-06,2.1525465076231604e-06,4.353427386611715e-06
2610,abr,30,22,2.033036561686505e-06,2.2168605937622488e-06,4.358039444138972e-06
2710,abr,27,24,2.071106008280857e-06,2.1903523633166704e-06,4.444905652286801e-06
2810,abr,28,22,2.3541686016566904e-06,2.615272480232472e-06,4.800180862615774e-06
2910,abr,28,23,2.208587630260645e-06,2.4844405749711774e-06,4.945279978674843e-06
3010,abr,30,25,2.1877401631818e-06,2.25475785020857e-06,5.450836452110406e-06
3110,abr,27,23,2.0357990100814126e-06,2.1420794540306202e-06,4.53564559481287e-06
3210,abr,32,26,2.1749584870327715e-06,2.2362040694092996e-06,4.341601121993779e-06
3310,abr,30,25,2.6227031728703932e-06,3.099999677581812e-06,5.800151799580416e-06
3410,abr,31,24,2.1873162314014508e-06,2.242746856530703e-06,4.3781249024461775e-06
3510,abr,29,24,2.5417104543021093e-06,3.15243691674391e-06,8.063428436539003e-06
3610,abr,28,25,3.1285664234006147e-06,2.7423357229040812e-06,6.029957854817719e-06
3710,abr,33,23,2.8800618817265237e-06,2.6629984851521755e-06,5.463524842431229e-06
3810,abr,32,26,2.6806647743362542e-06,2.7081551575624845e-06,5.386702101299925e-06
3910,abr,31,27,2.8347898152040595e-06,2.4375824854952746e-06,4.974839535203496e-06
4010,abr,33,25,2.516007854445627e-06,2.5796479024589717e-06,5.466960623630171e-06
4110,abr,31,24,2.6615338805667226e-06,2.4625155793509884e-06,5.212270024809644e-06
4210,abr,32,25,2.881666732719168e-06,2.891575077250691e-06,6.113702021628762e-06
4310,abr,34,28,2.791451061659474e-06,2.630545517824816e-06,5.501750159096907e-06
4410,abr,35,24,2.5456436643843592e-06,2.3982014489746528e-06,4.8402985413564126e-06
4510,abr,33,29,2.391058954259837e-06,2.3847208435338164e-06,5.294413545803693e-06
4610,abr,34,28,3.1707471005232382e-06,2.910078433185841e-06,5.408571818766727e-06
4710,abr,33,25,2.8108344324366457e-06,2.3810035340873605e-06,4.87925550414923e-06
4810,abr,36,27,2.424654648303092e-06,2.335150034363883e-06,5.061870169123447e-06
4910,abr,35,29,2.391131508928238e-06,2.2650103655491435e-06,4.856256662647412e-06
5010,abr,33,25,2.2915515616411435e-06,2.286087966472433e-06,5.2083165293609825e-06
5110,abr,37,26,2.5090450509978406e-06,2.1725921286316265e-06,4.961028734602505e-06
5210,abr,31,24,2.497125371800923e-06,2.0919181117443357e-06,4.668416017784119e-06
5310,abr,35,27,2.5573336405911914e-06,2.396633600156828e-06,5.828341183923538e-06
5410,abr,34,28,2.6721168507472225e-06,2.4340802457541866e-06,5.306133781979553e-06
5510,abr,37,30,2.469477053504052e-06,2.4501377433586328e-06,5.310174118510621e-06
5610,abr,34,28,2.5327551664481485e-06,2.2787407677268856e-06,4.975663401439534e-06
5710,abr,37,27,2.4025398887733035e-06,2.235448765669758e-06,4.982963846785702e-06
5810,abr,38,25,2.2098425688454882e-06,2.065000035943006e-06,4.707543874310591e-06
5910,abr,38,29,2.3760695412101336e-06,2.2367973125926845e-06,5.349148335760329e-06
6010,abr,39,32,2.5905736743751177e-06,2.348678832526739e-06,4.586700217462041e-06
6110,abr,43,31,2.1172763223644083e-06,1.9754254249071855e-06,4.44269290921081e-06
6210,abr,37,30,2.3186930393317584e-06,2.0118463759537287e-06,4.401859375042125e-06
6310,abr,41,28,2.0972497944757047e-06,1.8240962257930433e-06,4.442811115424454e-06
6410,abr,39,30,2.100123329116592e-06,1.8547245073975541e-06,4.2938136389171275e-06
6510,abr,38,32,2.137881429484547e-06,1.9280131537792794e-06,4.344176835820125e-06
6610,abr,38,31,2.1659412102551946e-06,1.9476267147686057e-06,4.56692170901552e-06
6710,abr,38,31,2.1945064010477296e-06,1.8496211299806777e-06,4.484951024418844e-06
6810,abr,39,32,2.144916274422392e-06,1.9150185574478697e-06,4.470858507977619e-06
6910,abr,40,29,2.197906628115997e-06,1.8824094464879894e-06,4.739567562233346e-06
7010,abr,45,32,2.140887863975905e-06,2.0081421020347694e-06,4.331658316267372e-06
7110,abr,44,34,2.185651188328398e-06,1.9334046869270736e-06,4.565485562201164e-06
7210,abr,39,30,2.197157719321674e-06,1.945895939562829e-06,4.625876666733088e-06
7310,abr,40,31,2.0578937952902636e-06,1.783974796935702e-06,4.207087637807586e-06
7410,abr,41,34,2.295352591795918e-06,2.030873338637663e-06,4.695673221878958e-06
7510,abr,43,30,2.3274535544312436e-06,2.0117251081028177e-06,4.6847091852410046e-06
7610,abr,44,32,2.2459526571389637e-06,1.9898597589675947e-06,4.705685727379245e-06
7710,abr,41,31,2.401562877507024e-06,1.9931697976974332e-06,4.6365965224598115e-06
7810,abr,46,30,2.292367577643236e-06,1.993953514213205e-06,4.6872995580105094e-06
7910,abr,46,30,2.3545380302507135e-06,1.9460932743165077e-06,4.698034221546804e-06
8010,abr,40,33,2.231826260980832e-06,1.9360022622449523e-06,5.6314322104764905e-06
8110,abr,47,32,2.377441817705766e-06,2.016854803760613e-06,4.803302144411243e-06
