level_0,n,abr_type,height_before,height_after,insert_time,search_time,delete_time
64,3210,lista,13.12,0.08,6.647176182647183e-06,7.45901679781361e-06,4.787665547685077e-06
65,3260,lista,13.67,0.08,6.663573733779068e-06,7.5833213381688696e-06,4.879400011773521e-06
66,3310,lista,13.4,0.11,7.466542090527764e-06,7.584530098361187e-06,4.875774775268535e-06
67,3360,lista,13.37,0.06,8.7207636798948e-06,7.6070669497853705e-06,4.737149357933525e-06
68,3410,lista,13.62,0.05,7.5721829576808e-06,7.530319156054256e-06,4.770855821291709e-06
69,3460,lista,13.31,0.03,8.21856930095058e-06,7.614859585752297e-06,4.709936600387548e-06
70,3510,lista,13.19,0.04,8.571823740920889e-06,7.446179109468849e-06,4.590895595425897e-06
71,3560,lista,13.44,0.03,6.080421278277733e-06,7.538324639549348e-06,4.707742291537194e-06
72,3610,lista,13.45,0.02,7.146677810796116e-06,7.595409334890205e-06,4.628506786243704e-06
73,3660,lista,13.2,0.01,7.752146081734008e-06,7.526186774793544e-06,4.606022962056795e-06
74,3710,lista,13.36,0.02,6.908514953426559e-06,7.612862946223464e-06,4.510251757471648e-06
75,3760,lista,13.26,0.03,7.955237007008885e-06,7.558186607929336e-06,4.646812392820721e-06
76,3810,lista,13.27,0.02,8.236656040837615e-06,7.626408521336272e-06,4.4894215846124625e-06
77,3860,lista,13.26,0.01,9.024372205366268e-06,7.568759105894824e-06,4.4392224364686145e-06
78,3910,lista,13.13,0.01,6.7391492734842054e-06,7.545472283084749e-06,4.429197291348545e-06
79,3960,lista,13.43,0.04,8.19908281743775e-06,7.65624479742995e-06,4.386798212406097e-06
80,4010,lista,13.31,0.02,7.170292560990981e-06,7.698950579399528e-06,4.413708005229895e-06
81,4060,lista,13.47,0.01,7.421031199508685e-06,7.438905832319963e-06,4.349570751042767e-06
82,4110,lista,13.51,0.02,6.615324545763611e-06,7.613831570218864e-06,4.352744003757544e-06
83,4160,lista,13.0,0.01,7.85081966292121e-06,7.350644815595877e-06,4.267188711721176e-06
84,4210,lista,13.32,0.01,8.054982011507795e-06,7.384669402519386e-06,4.111985636258113e-06
85,4260,lista,13.33,0.0,8.093911929529386e-06,7.350844255478064e-06,4.129463061428157e-06
86,4310,lista,13.46,0.01,8.06942651273448e-06,7.578319962340005e-06,4.1882627937780635e-06
87,4360,lista,13.28,0.0,6.796444518155622e-06,7.630928878236965e-06,4.208587754060777e-06
88,4410,lista,13.33,0.0,6.900932153545297e-06,7.5361201028022605e-06,4.173946343073076e-06
89,4460,lista,13.31,0.0,7.722333146639683e-06,7.60691707670342e-06,4.20874072546775e-06
90,4510,lista,13.22,0.01,7.914330826681378e-06,7.3730634777431445e-06,4.085003053459386e-06
91,4560,lista,13.22,0.01,7.861208636377502e-06,7.488884377819392e-06,4.149144106868494e-06
92,4610,lista,13.0,0.01,8.201304992414965e-06,7.4090576422689315e-06,4.111746182411638e-06
93,4660,lista,13.19,0.0,7.97429178535045e-06,7.492565355196231e-06,4.0937339226222375e-06
94,4710,lista,13.31,0.0,7.237164724483205e-06,7.56417114771636e-06,4.097526952037923e-06
95,4760,lista,13.74,0.01,7.2242413510983685e-06,7.622191343040615e-06,4.069172117270995e-06
96,4810,lista,13.33,0.0,6.750578036887557e-06,7.445956429774847e-06,3.99102362694134e-06
97,4860,lista,13.21,0.01,8.987251182644012e-06,7.507657696970518e-06,4.154240090822076e-06
98,4910,lista,13.53,0.0,8.526570989002154e-06,7.501015549356718e-06,3.989736806808351e-06
99,4960,lista,13.48,0.0,7.125769368085897e-06,7.545493555169507e-06,4.026086558896637e-06
100,5010,lista,13.5,0.01,7.401320536150897e-06,7.5758354051096314e-06,3.957716756085197e-06
101,5060,lista,13.01,0.0,7.105864480031109e-06,7.5431005062264845e-06,3.865749525060454e-06
102,5110,lista,13.38,0.0,7.649142818021977e-06,7.887717832570889e-06,4.044921979581054e-06
103,5160,lista,13.18,0.0,8.879845353783984e-06,7.4081687068195775e-06,3.927525361576031e-06
104,5210,lista,13.29,0.0,8.27718407843248e-06,7.57295725041264e-06,3.929842719204322e-06
105,5260,lista,13.19,0.0,7.320941510423916e-06,7.525876297526884e-06,3.964040470665607e-06
106,5310,lista,13.12,0.0,7.361740432953871e-06,7.479504844731993e-06,3.885639766201955e-06
107,5360,lista,13.33,0.0,6.940661396395545e-06,7.576296455949683e-06,3.870392777021627e-06
108,5410,lista,13.32,0.0,7.644736986723944e-06,7.739546751190036e-06,3.9650872203863395e-06
109,5460,lista,13.06,0.0,8.834377771216289e-06,7.514282199652758e-06,3.8121827408811995e-06
